buyer,seller,rate,date
901577919,555039497,2,01/24/2018
113920476,555039497,2,01/24/2018
430564790,555039497,2,01/23/2018
271197383,555039497,2,01/23/2018
763321113,555039497,2,01/22/2018
311976631,555039497,2,12/23/2017
311976631,555039497,2,12/21/2017
213678545,555039497,2,12/21/2017
333497013,555039497,2,12/16/2017
278031235,555039497,2,12/15/2017
361949756,555039497,2,12/15/2017
782295084,555039497,2,12/13/2017
843816452,555039497,2,12/11/2017
848035727,555039497,2,12/10/2017
308903438,555039497,2,12/09/2017
344715818,555039497,2,12/06/2017
285700960,555039497,2,12/02/2017
989218285,555039497,2,11/20/2017
375416552,555039497,2,11/12/2017
532637589,555039497,2,11/10/2017
475625790,555039497,2,11/07/2017
735169032,555039497,2,11/03/2017
905783224,555039497,2,10/29/2017
389199966,555039497,2,10/28/2017
984969476,555039497,2,10/28/2017
124357575,555039497,2,10/25/2017
215340076,555039497,2,10/24/2017
731740904,555039497,2,10/24/2017
776833604,555039497,2,10/23/2017
260178760,555039497,2,10/22/2017
153209398,555039497,2,10/21/2017
924696484,555039497,2,10/21/2017
741108250,555039497,2,10/21/2017
247296019,555039497,2,10/20/2017
800699235,555039497,2,10/19/2017
898225017,555039497,2,10/19/2017
648673040,555039497,2,10/18/2017
943728914,555039497,2,10/17/2017
840774478,555039497,2,10/16/2017
858378364,555039497,2,10/16/2017
985504481,555039497,2,10/15/2017
148697333,555039497,2,10/15/2017
816091446,555039497,2,10/14/2017
661785913,555039497,2,10/12/2017
201215970,555039497,2,10/11/2017
777007850,555039497,2,10/11/2017
681084445,555039497,2,10/10/2017
523684064,555039497,2,10/08/2017
796196753,555039497,2,10/08/2017
973826451,555039497,2,10/06/2017
700162451,555039497,2,10/05/2017
791821581,555039497,2,10/04/2017
655244196,555039497,2,10/03/2017
811204403,555039497,2,10/02/2017
804697986,555039497,2,09/29/2017
547894417,555039497,2,09/29/2017
193232655,555039497,2,09/29/2017
918459965,555039497,2,09/29/2017
547406618,555039497,2,09/28/2017
391388080,555039497,2,09/27/2017
448623275,555039497,2,09/27/2017
762448872,555039497,2,09/26/2017
184169254,555039497,2,09/23/2017
666379228,555039497,2,09/21/2017
670768077,555039497,2,09/21/2017
375796784,555039497,2,09/21/2017
119768226,555039497,2,09/20/2017
350962315,555039497,2,09/18/2017
564957056,555039497,2,09/17/2017
390900835,555039497,2,09/16/2017
758924735,555039497,2,09/15/2017
673057813,555039497,2,09/15/2017
402750822,555039497,2,09/15/2017
233503893,555039497,2,09/14/2017
539729967,555039497,2,09/14/2017
562986176,555039497,2,09/14/2017
537869272,555039497,2,09/11/2017
880436718,555039497,2,09/11/2017
221833265,555039497,2,09/11/2017
292302632,555039497,2,09/10/2017
958875029,555039497,2,09/09/2017
575755327,555039497,2,09/09/2017
158439946,555039497,2,09/08/2017
821899743,555039497,2,09/07/2017
969687677,555039497,2,09/01/2017
938400674,555039497,2,08/29/2017
162902329,555039497,2,08/28/2017
365143240,555039497,2,08/27/2017
651037408,555039497,2,08/25/2017
651037408,555039497,2,08/25/2017
516958415,555039497,2,08/24/2017
400604179,555039497,2,08/24/2017
236027722,555039497,2,08/24/2017
116195576,555039497,2,08/23/2017
821465075,555039497,2,08/22/2017
435522718,555039497,2,08/22/2017
813637252,555039497,2,08/21/2017
278031235,555039497,2,08/21/2017
709903754,555039497,2,08/20/2017
555039497,795490374,2,08/19/2017
695430752,555039497,2,08/18/2017
551014957,555039497,2,08/18/2017
117713639,555039497,2,08/17/2017
695430752,555039497,2,08/17/2017
539729967,555039497,2,08/16/2017
988074294,555039497,2,08/14/2017
532674591,555039497,2,08/14/2017
625812595,555039497,2,08/13/2017
633582167,555039497,2,08/09/2017
949535896,555039497,2,08/08/2017
514004483,555039497,2,07/10/2017
555039497,286784591,2,07/01/2017
996676054,555039497,2,06/25/2017
775227404,555039497,2,06/08/2017
312104782,555039497,2,06/07/2017
214797026,555039497,2,06/06/2017
258590554,555039497,2,06/05/2017
137223496,555039497,2,06/05/2017
600579093,555039497,2,06/03/2017
325140636,555039497,2,05/31/2017
888794960,555039497,2,05/30/2017
115254931,555039497,2,05/26/2017
989571330,555039497,2,05/25/2017
365596155,555039497,2,05/24/2017
856004291,555039497,2,05/20/2017
200062274,555039497,2,05/15/2017
665761439,555039497,2,05/11/2017
212055982,555039497,2,05/09/2017
817711007,555039497,2,05/05/2017
737899971,555039497,2,05/02/2017
584368221,555039497,2,05/01/2017
455755604,555039497,2,04/30/2017
254512816,555039497,2,04/29/2017
102688745,555039497,2,04/29/2017
411256339,555039497,2,04/28/2017
982004303,555039497,2,04/28/2017
599213250,555039497,2,04/27/2017
779593896,555039497,2,04/27/2017
568746810,555039497,2,04/21/2017
937062347,555039497,2,04/16/2017
628415904,555039497,2,04/16/2017
947348034,555039497,2,04/14/2017
625458968,555039497,2,04/13/2017
623102145,555039497,2,04/11/2017
298935136,555039497,2,04/07/2017
505628089,555039497,2,04/07/2017
270434969,555039497,2,04/06/2017
206684571,555039497,2,04/06/2017
264797863,555039497,2,04/06/2017
962958943,555039497,2,04/05/2017
517753968,555039497,2,04/05/2017
363381305,555039497,2,04/04/2017
122114124,555039497,2,04/03/2017
502767045,555039497,2,04/03/2017
555039497,374984333,2,04/03/2017
650965764,555039497,2,04/02/2017
528172699,555039497,2,04/01/2017
458847808,555039497,2,03/30/2017
507449922,555039497,2,03/30/2017
466750419,555039497,2,03/30/2017
484470341,555039497,2,03/27/2017
362823006,555039497,2,03/27/2017
158164714,555039497,2,03/27/2017
444556917,555039497,2,03/26/2017
635336747,555039497,2,03/26/2017
541338235,555039497,2,03/25/2017
944739640,555039497,2,03/25/2017
773415870,555039497,2,03/24/2017
920242004,555039497,2,03/24/2017
509886083,555039497,2,03/21/2017
228699567,555039497,2,03/20/2017
420221005,555039497,2,03/20/2017
152119758,555039497,2,03/19/2017
295076223,555039497,2,03/18/2017
403817796,555039497,2,03/18/2017
974222411,555039497,2,03/18/2017
181655653,555039497,2,03/17/2017
685391711,555039497,2,03/17/2017
512616771,555039497,2,03/16/2017
776100121,555039497,2,03/15/2017
880436718,555039497,2,03/15/2017
829090532,555039497,2,03/15/2017
801900550,555039497,2,03/15/2017
216919719,555039497,2,03/15/2017
845529473,555039497,2,03/14/2017
984568067,555039497,2,03/14/2017
102729910,555039497,2,03/13/2017
969259439,555039497,2,03/13/2017
809617889,555039497,2,03/12/2017
859271744,555039497,2,03/12/2017
837035944,555039497,2,03/12/2017
878226181,555039497,2,03/10/2017
880436718,555039497,2,03/09/2017
408874634,555039497,2,03/09/2017
347780289,555039497,2,03/08/2017
147142765,555039497,2,03/07/2017
282134231,555039497,2,03/07/2017
942819187,555039497,2,03/07/2017
342984850,555039497,2,03/07/2017
554399193,555039497,2,03/07/2017
965601929,555039497,2,03/07/2017
365624753,555039497,2,03/07/2017
516821858,555039497,2,03/07/2017
983016453,555039497,2,03/06/2017
505326892,555039497,2,03/06/2017
827244948,555039497,2,03/06/2017
953393009,555039497,2,03/05/2017
393205477,555039497,2,03/01/2017
608896798,555039497,2,02/28/2017
508584142,555039497,2,02/28/2017
359913740,555039497,2,02/25/2017
541540394,555039497,2,02/25/2017
614315252,555039497,2,02/24/2017
451707609,555039497,2,02/21/2017
944919413,555039497,2,02/21/2017
556918209,555039497,2,02/18/2017
608255072,555039497,2,02/17/2017
949551794,555039497,2,02/16/2017
312439859,555039497,2,02/15/2017
314560366,555039497,2,02/12/2017
110035517,555039497,2,02/11/2017
670126475,555039497,2,02/11/2017
839890021,555039497,2,02/11/2017
881458200,555039497,2,02/10/2017
